County,State,Population,Uninsured
Autauga,Alabama,54264,5720
Baldwin,Alabama,184805,25515
Barbour,Alabama,24435,4223
Bibb,Alabama,21438,3238
Blount,Alabama,57155,7183
Butler,Alabama,20370,2438
Calhoun,Alabama,116487,16169
Chambers,Alabama,33721,5499
Cherokee,Alabama,25609,3640
Chilton,Alabama,43462,7269
Clarke,Alabama,25261,4373
Coffee,Alabama,48243,6078
Colbert,Alabama,53996,6337
Covington,Alabama,37446,5342
Cullman,Alabama,79723,11773
Dale,Alabama,47567,6378
Dallas,Alabama,43001,6672
DeKalb,Alabama,70576,11742
Elmore,Alabama,74541,8404
Escambia,Alabama,35758,8408
Etowah,Alabama,103071,16130
Franklin,Alabama,31454,5625
Geneva,Alabama,26569,4314
Houston,Alabama,101367,14769
Jackson,Alabama,52662,8812
Jefferson,Alabama,651329,85696
Lauderdale,Alabama,91839,11426
Lawrence,Alabama,33775,4485
Lee,Alabama,141655,17759
Limestone,Alabama,80780,10281
Macon,Alabama,20754,3039
Madison,Alabama,335933,42333
Marengo,Alabama,20452,2607
Marion,Alabama,29662,3875
Marshall,Alabama,93003,15936
Mobile,Alabama,406747,66451
Monroe,Alabama,22564,3679
Montgomery,Alabama,224246,31860
Morgan,Alabama,118466,19474
Pike,Alabama,32798,4103
Randolph,Alabama,22498,3264
Russell,Alabama,53608,9388
St. Clair,Alabama,82486,11247
Shelby,Alabama,196926,19751
Talladega,Alabama,79293,11622
Tallapoosa,Alabama,40840,5708
Tuscaloosa,Alabama,195169,24670
Walker,Alabama,65789,10031
Winston,Alabama,23873,3739
Anchorage Municipality,Alaska,284932,48014
Fairbanks North Star Borough,Alaska,93201,15165
Juneau City and Borough,Alaska,31602,5638
Kenai Peninsula Borough,Alaska,55035,12349
Matanuska-Susitna Borough,Alaska,90477,18001
Apache,Arizona,71647,17825
Cochise,Arizona,121126,16581
Coconino,Arizona,134290,28806
Gila,Arizona,52637,9520
Graham,Arizona,33631,6402
La Paz,Arizona,20170,3097
Maricopa,Arizona,3849059,669326
Mohave,Arizona,194670,33701
Navajo,Arizona,105206,18528
Pima,Arizona,969969,144053
Pinal,Arizona,362359,58030
Santa Cruz,Arizona,47195,10575
Yavapai,Arizona,209596,32805
Yuma,Arizona,190281,41473
Ashley,Arkansas,21456,3352
Baxter,Arkansas,40762,5678
Benton,Arkansas,225864,34472
Boone,Arkansas,36677,6064
Carroll,Arkansas,27325,5518
Clark,Arkansas,22518,3513
Cleburne,Arkansas,25554,4802
Columbia,Arkansas,24253,3450
Conway,Arkansas,21003,3435
Craighead,Arkansas,97299,17057
Crawford,Arkansas,61435,11455
Crittenden,Arkansas,49883,8755
Faulkner,Arkansas,115159,15693
Garland,Arkansas,95033,18485
Greene,Arkansas,42189,7191
Hempstead,Arkansas,22238,4401
Hot Spring,Arkansas,31485,5067
Independence,Arkansas,36408,6515
Jefferson,Arkansas,71834,10202
Johnson,Arkansas,25522,3962
Logan,Arkansas,21893,3595
Lonoke,Arkansas,67540,9801
Miller,Arkansas,42461,7879
Mississippi,Arkansas,45135,7881
Ouachita,Arkansas,25342,3200
Phillips,Arkansas,21077,3121
Poinsett,Arkansas,24111,4807
Polk,Arkansas,20433,4357
Pope,Arkansas,61943,9965
Pulaski,Arkansas,380231,60088
St. Francis,Arkansas,24149,4307
Saline,Arkansas,108308,13448
Sebastian,Arkansas,125332,24114
Union,Arkansas,40779,6222
Washington,Arkansas,206073,39264
White,Arkansas,77225,12745
Yell,Arkansas,21763,4133
Alameda,California,1521060,195466
Amador,California,33087,4141
Butte,California,218342,37281
Calaveras,California,44644,4938
Colusa,California,21206,4705
Contra Costa,California,1060548,129753
Del Norte,California,24939,3562
El Dorado,California,179871,19286
Fresno,California,929419,189143
Glenn,California,27772,5615
Humboldt,California,133889,25909
Imperial,California,165133,34294
Kern,California,818660,169363
Kings,California,131188,24677
Lake,California,63669,12299
Lassen,California,23493,2448
Los Angeles,California,9820623,2223240
Madera,California,143386,30451
Marin,California,248527,22223
Mendocino,California,86531,15040
Merced,California,256788,49609
Monterey,California,402276,86644
Napa,California,135828,21296
Nevada,California,97627,15103
Orange,California,3037778,531809
Placer,California,353749,36969
Plumas,California,19501,3262
Riverside,California,2212594,453398
Sacramento,California,1418144,207280
San Benito,California,55978,8833
San Bernardino,California,2024485,425876
San Diego,California,3040377,524610
San Francisco,California,810767,90934
San Joaquin,California,686298,120251
San Luis Obispo,California,263987,39351
San Mateo,California,725172,82192
Santa Barbara,California,420348,79151
Santa Clara,California,1802611,212244
Santa Cruz,California,263622,37937
Shasta,California,176626,27799
Siskiyou,California,44318,6550
Solano,California,400109,50682
Sonoma,California,483558,69809
Stanislaus,California,514864,91385
Sutter,California,93299,17519
Tehama,California,62780,10664
Tulare,California,443401,98610
Tuolumne,California,51198,7162
Ventura,California,822788,134107
Yolo,California,200907,25170
Yuba,California,70002,11672
Adams,Colorado,447761,96016
Arapahoe,Colorado,580170,94857
Boulder,Colorado,298465,32797
Broomfield,Colorado,56960,5255
Delta,Colorado,29538,6331
Denver,Colorado,612247,107014
Douglas,Colorado,291690,18030
Eagle,Colorado,51775,9013
Elbert,Colorado,23111,2773
El Paso,Colorado,605898,84640
Fremont,Colorado,35988,4463
Garfield,Colorado,55577,16982
Jefferson,Colorado,533894,64456
La Plata,Colorado,51336,9268
Larimer,Colorado,303044,37162
Logan,Colorado,22147,4247
Mesa,Colorado,145943,25318
Montezuma,Colorado,25176,5427
Montrose,Colorado,40465,8204
Morgan,Colorado,27739,5240
Pueblo,Colorado,156558,22186
Routt,Colorado,23240,3080
Summit,Colorado,27907,6003
Teller,Colorado,23072,2916
Weld,Colorado,255608,40689
Fairfield,Connecticut,917653,104561
Hartford,Connecticut,879824,73513
Litchfield,Connecticut,187045,13391
Middlesex,Connecticut,163827,12495
New Haven,Connecticut,851938,75775
New London,Connecticut,262238,20157
Tolland,Connecticut,148796,7651
Windham,Connecticut,116312,9705
Kent,Delaware,161755,12888
New Castle,Delaware,534207,48863
Sussex,Delaware,197770,22287
District of Columbia,District of Columbia,608396,41196
Alachua,Florida,246520,38710
Baker,Florida,24696,3343
Bay,Florida,165266,31416
Bradford,Florida,23943,4082
Brevard,Florida,538509,90369
Broward,Florida,1773159,408152
Charlotte,Florida,157807,26198
Citrus,Florida,138234,21645
Clay,Florida,189612,26098
Collier,Florida,325792,74177
Columbia,Florida,63676,12439
DeSoto,Florida,32655,9713
Duval,Florida,855214,147956
Escambia,Florida,283138,49701
Flagler,Florida,96748,16784
Gadsden,Florida,44928,9781
Hardee,Florida,25499,8052
Hendry,Florida,36087,11966
Hernando,Florida,171552,30765
Highlands,Florida,97329,17000
Hillsborough,Florida,1249385,238661
Indian River,Florida,137916,26104
Jackson,Florida,41719,6712
Lake,Florida,296825,45398
Lee,Florida,628062,133981
Leon,Florida,276061,36941
Levy,Florida,39779,7976
Manatee,Florida,325422,61787
Marion,Florida,325877,63751
Martin,Florida,144939,24272
Miami-Dade,Florida,2522875,770609
Monroe,Florida,72312,20966
Nassau,Florida,73280,12390
Okaloosa,Florida,174760,27974
Okeechobee,Florida,37179,8683
Orange,Florida,1162119,259941
Osceola,Florida,276054,64639
Palm Beach,Florida,1326095,268671
Pasco,Florida,462531,75302
Pinellas,Florida,906400,161864
Polk,Florida,599013,114322
Putnam,Florida,72686,15312
St. Johns,Florida,194703,23082
St. Lucie,Florida,279166,61989
Santa Rosa,Florida,148844,20950
Sarasota,Florida,378816,63210
Seminole,Florida,424350,76486
Sumter,Florida,89247,9960
Suwannee,Florida,41844,8452
Taylor,Florida,19360,2777
Volusia,Florida,489273,90311
Wakulla,Florida,27315,3128
Walton,Florida,54179,9404
Washington,Florida,22383,3770
Baldwin,Georgia,43153,6920
Barrow,Georgia,69562,13319
Bartow,Georgia,99414,20195
Bibb,Georgia,152332,26641
Bryan,Georgia,30118,5084
Bulloch,Georgia,71286,14019
Burke,Georgia,23050,4133
Butts,Georgia,21460,4225
Camden,Georgia,46867,6043
Carroll,Georgia,109751,22479
Catoosa,Georgia,64206,9765
Chatham,Georgia,264562,52222
Chattooga,Georgia,23913,4933
Cherokee,Georgia,217435,31986
Clarke,Georgia,117647,19365
Clayton,Georgia,259327,72241
Cobb,Georgia,692379,126160
Coffee,Georgia,39594,9599
Colquitt,Georgia,45177,11521
Columbia,Georgia,125962,15813
Coweta,Georgia,128733,18581
Crisp,Georgia,23115,4136
Dawson,Georgia,22141,3697
Decatur,Georgia,26448,6224
DeKalb,Georgia,690247,155566
Dodge,Georgia,19301,3196
Dougherty,Georgia,92930,19513
Douglas,Georgia,131942,23263
Effingham,Georgia,52301,8880
Elbert,Georgia,19662,3834
Emanuel,Georgia,21856,5055
Fannin,Georgia,23407,3664
Fayette,Georgia,106532,10261
Floyd,Georgia,94320,17649
Forsyth,Georgia,181792,28195
Franklin,Georgia,21758,3994
Fulton,Georgia,942738,169769
Gilmer,Georgia,27991,5407
Glynn,Georgia,79453,17483
Gordon,Georgia,54941,12171
Grady,Georgia,25047,6268
Gwinnett,Georgia,820464,179932
Habersham,Georgia,41051,7851
Hall,Georgia,180535,38427
Haralson,Georgia,28090,5093
Harris,Georgia,31839,3432
Hart,Georgia,24626,5224
Henry,Georgia,205904,34918
Houston,Georgia,140226,20237
Jackson,Georgia,60107,10690
Jones,Georgia,28401,4593
Laurens,Georgia,47106,7432
Lee,Georgia,26876,4316
Liberty,Georgia,58408,7868
Lowndes,Georgia,107117,22977
Lumpkin,Georgia,30053,4990
McDuffie,Georgia,21423,4285
Madison,Georgia,27872,5257
Meriwether,Georgia,21364,4741
Mitchell,Georgia,21248,4371
Monroe,Georgia,25379,4093
Murray,Georgia,39241,8340
Muscogee,Georgia,180406,28323
Newton,Georgia,99972,19305
Oconee,Georgia,33062,2917
Paulding,Georgia,143053,20062
Peach,Georgia,27490,6066
Pickens,Georgia,29095,4740
Polk,Georgia,40819,8981
Putnam,Georgia,21068,3170
Richmond,Georgia,192162,34577
Rockdale,Georgia,84929,17589
Spalding,Georgia,63048,12309
Stephens,Georgia,25892,4591
Sumter,Georgia,31214,5048
Tattnall,Georgia,20578,4753
Thomas,Georgia,43959,9579
Tift,Georgia,40343,9129
Toombs,Georgia,27001,6557
Troup,Georgia,66403,12267
Union,Georgia,20981,3619
Upson,Georgia,26378,5052
Walker,Georgia,67229,11997
Walton,Georgia,83656,12354
Ware,Georgia,33666,7314
Washington,Georgia,19489,3989
Wayne,Georgia,28117,7096
White,Georgia,27172,5692
Whitfield,Georgia,102147,24563
Worth,Georgia,21591,4912
Hawaii,Hawaii,185988,17781
Honolulu,Hawaii,921038,56019
Kauai,Hawaii,66959,6940
Maui,Hawaii,155065,15523
Ada,Idaho,395253,53498
Bannock,Idaho,82206,12462
Bingham,Idaho,45444,7827
Blaine,Idaho,21129,3787
Bonner,Idaho,40421,7470
Bonneville,Idaho,104902,14544
Canyon,Idaho,190257,37402
Cassia,Idaho,22780,4375
Elmore,Idaho,24089,3604
Jefferson,Idaho,26301,3774
Jerome,Idaho,22370,6414
Kootenai,Idaho,139907,24761
Latah,Idaho,37588,3691
Madison,Idaho,37401,3429
Minidoka,Idaho,19997,4415
Nez Perce,Idaho,38763,5670
Payette,Idaho,22386,5808
Twin Falls,Idaho,76727,16532
Adams,Illinois,65883,6543
Boone,Illinois,53794,6641
Bureau,Illinois,34207,4051
Champaign,Illinois,200814,20335
Christian,Illinois,33101,3509
Clinton,Illinois,36122,2667
Coles,Illinois,53033,6374
Cook,Illinois,5173629,881355
DeKalb,Illinois,103996,10472
DuPage,Illinois,917352,87032
Effingham,Illinois,33869,2986
Fayette,Illinois,20989,2741
Franklin,Illinois,39037,4899
Fulton,Illinois,34799,3104
Grundy,Illinois,49880,5051
Henry,Illinois,49568,4291
Iroquois,Illinois,28869,2735
Jackson,Illinois,59463,7009
Jefferson,Illinois,36930,4409
Jersey,Illinois,22497,2184
Jo Daviess,Illinois,22474,1993
Kane,Illinois,515922,69545
Kankakee,Illinois,111227,13434
Kendall,Illinois,116349,8827
Knox,Illinois,49887,5238
Lake,Illinois,687386,79450
LaSalle,Illinois,111086,11612
Lee,Illinois,33225,3233
Livingston,Illinois,33895,2725
Logan,Illinois,22912,1856
McDonough,Illinois,32177,3031
McHenry,Illinois,307227,27843
McLean,Illinois,169769,13033
Macon,Illinois,108290,11763
Macoupin,Illinois,46966,4753
Madison,Illinois,265239,26813
Marion,Illinois,38437,4462
Monroe,Illinois,32929,2071
Montgomery,Illinois,24011,1560
Morgan,Illinois,33889,3474
Ogle,Illinois,52589,4495
Peoria,Illinois,184322,20304
Perry,Illinois,20307,2569
Randolph,Illinois,30419,2715
Rock Island,Illinois,145238,15572
St. Clair,Illinois,263684,29903
Saline,Illinois,24266,3174
Sangamon,Illinois,196469,19274
Shelby,Illinois,22049,2131
Stephenson,Illinois,46642,4865
Tazewell,Illinois,133449,11678
Vermilion,Illinois,79445,9776
Whiteside,Illinois,57322,6882
